28 12
21;5 01;5 01;5 01;5 01;5 05;5 01;5 01;5 01;5 01;5 05;1 01;5 01;3 11;5 01;3 22;1 01;3 11;5 05;1 01;3 01;3 01;3 01;3 21;1 01;7 01;7 30;7 01;7
01;5 07;5 05;7 05;7 05;7 06;7 01;5 01;5 01;5 01;5 06;1 05;7 01;3 14;3 11;3 11;3 11;3 15;3 11;3 11;3 11;3 12;5 07;5 05;7 01;7 01;7 28;7 01;7
01;5 05;5 20;1 02;1 01;5 01;5 01;5 01;5 02;3 01;5 01;5 01;5 01;3 11;1 06;3 05;3 05;3 05;3 05;3 05;3 06;5 11;5 05;5 01;3 01;7 01;7 01;7 01;7
01;5 05;5 01;5 01;5 01;5 01;5 17;1 01;5 01;5 01;5 03;5 05;3 01;3 11;1 05;1 12;3 11;3 11;3 11;3 12;5 05;5 11;5 05;5 01;3 01;7 01;7 26;7 01;7
01;5 05;5 01;5 01;5 01;5 01;5 01;5 01;5 01;5 01;5 05;1 01;5 01;3 11;1 05;1 11;1 06;3 05;3 06;5 11;5 05;5 11;5 05;5 01;3 01;7 01;7 01;7 01;7
05;7 06;7 01;5 01;5 01;5 22;5 22;5 01;5 01;5 01;5 05;1 01;5 01;3 11;1 05;1 11;1 05;1 34;7 34;1 11;5 05;5 11;5 09;5 05;7 01;7 01;7 24;7 01;7
01;5 01;5 01;5 01;5 01;5 22;5 22;5 01;5 19;1 01;5 05;1 01;5 11;3 15;1 05;1 11;1 05;1 34;5 34;3 11;5 05;5 11;5 05;5 05;3 01;7 01;7 23;7 01;7
01;5 01;5 01;5 01;5 01;5 01;5 01;5 01;5 01;5 01;5 05;1 01;5 01;3 11;1 05;1 11;1 05;1 12;1 11;7 12;7 05;5 11;5 05;5 01;3 01;7 01;7 01;7 01;7
01;5 05;5 01;5 01;5 01;5 01;5 01;5 01;5 01;5 01;5 06;1 09;7 01;3 11;1 05;1 11;1 06;1 05;7 05;7 05;7 06;7 11;5 05;5 01;3 01;7 01;7 25;7 01;7
01;5 05;5 01;5 02;7 01;5 01;5 01;5 01;5 02;5 01;5 01;5 05;1 01;3 11;1 05;1 12;1 11;7 11;7 11;7 11;7 11;7 12;7 05;5 01;3 01;7 01;7 01;7 01;7
01;5 05;5 01;5 01;5 18;1 11;5 01;5 01;5 13;5 11;7 11;7 03;5 11;3 13;1 06;1 05;7 05;7 05;7 09;7 05;7 05;7 05;7 08;7 01;3 01;7 01;7 27;7 01;7
01;5 05;5 01;5 01;5 01;5 11;5 01;5 01;5 11;5 01;5 01;5 21;5 21;1 01;3 01;3 01;3 01;3 01;3 05;1 01;3 01;3 01;3 05;1 01;3 01;7 01;7 29;7 01;7
0 0 1;1 0 1;1 0 0 1;1 0 3;1 0 0 0 0 6;1 0 5;1 0 0 5;1 0 6;1 0 0 0 0 1;5 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1;7 0 0 0 0 5;5 1;5 0 0 0 0 1;3 6;7 0 0 0 0 0 0 0 0 0 0 6;3 1;7 0 1;5 1;3
0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 3;1 0 0 0 0 0 0 0 0 0 0
3;7 0 0 0 2;8 0 0 2;2 0 0 0 3;3 5;7 0 0 0 0 0 3;1 0 0 0 0 5;3 1;7 0 1;5 1;3
0 0 6;3 0 0 0 0 0 0 5;7 0 0 0 0 0 0 3;7 0 0 0 1;3 0 0 0 0 0 1;5 0
0 0 5;3 0 0 0 0 0 0 1;7 0 0 0 0 0 3;7 0 0 0 1;3 0 0 0 0 0 0 1;5 0
3;7 0 0 0 2;6 0 0 2;4 0 0 0 3;3 5;7 0 0 0 0 1;5 0 0 0 0 0 5;3 1;7 0 0 1;3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1;5 0 0 0 0 0 0 0 1;5 0
1;7 0 0 0 0 5;1 1;1 0 0 0 0 1;3 6;7 0 0 0 0 0 0 0 0 0 0 6;3 1;7 0 0 1;3
0 0 0 0 0 0 6;3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1;5 0
0 0 1;5 0 1;5 0 0 1;5 0 1;5 0 0 0 0 6;5 0 5;5 0 0 5;5 0 6;5 0 0 0 0 0 0
