12 16
21;7 05;5 01;1 01;1 01;1 05;5 05;1 01;1 17;1 01;1 01;1 01;1
01;1 07;3 05;3 05;3 05;3 09;3 05;3 05;3 05;3 05;3 08;5 05;7
01;1 12;3 11;3 11;3 11;3 11;3 11;3 11;3 11;3 12;5 05;5 01;1
01;1 11;1 06;3 05;3 05;3 05;3 05;3 05;3 06;5 11;5 05;5 01;1
01;1 11;1 05;1 12;3 11;3 11;3 11;3 12;5 05;5 11;5 05;5 01;1
05;7 11;1 05;1 11;1 06;3 34;7 34;1 11;5 05;5 11;5 09;5 05;7
11;3 15;1 05;1 11;1 05;1 34;5 34;3 12;7 05;5 11;5 05;5 19;1
01;1 11;1 05;1 11;1 06;1 05;7 05;7 05;7 06;7 11;5 05;5 01;1
22;7 11;1 05;1 12;1 11;7 11;7 11;7 11;7 11;7 12;7 05;5 01;1
01;1 11;1 06;1 05;7 05;7 05;7 05;7 05;7 05;7 05;7 06;7 01;1
11;3 14;1 11;7 11;7 11;7 11;7 15;7 11;7 11;7 11;7 13;7 01;1
01;1 01;1 01;1 18;1 01;1 01;1 11;1 01;1 01;1 01;1 11;1 21;7
01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1
01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1
29;1 27;1 01;1 25;1 01;1 23;1 24;1 01;1 26;1 01;1 28;1 30;1
01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1 01;1
0 0 6;1 0 5;1 0 0 5;1 0 6;1 0 0
0 0 0 0 0 0 0 0 0 0 0 0
6;7 0 0 0 0 0 0 0 0 0 0 6;3
0 0 0 0 0 1;1 0 0 0 0 0 0
5;7 0 0 0 0 0 1;1 0 0 0 0 5;3
0 0 0 0 3;7 0 0 0 1;3 0 0 0
0 0 0 3;7 0 0 0 1;3 0 0 0 0
5;7 0 0 0 0 3;5 0 0 0 0 0 5;3
0 0 0 0 0 0 3;5 0 0 0 0 0
6;7 0 0 0 0 0 0 0 0 0 0 6;3
0 0 0 0 0 0 0 0 0 0 0 0
0 0 6;5 0 5;5 0 0 5;5 0 6;5 0 0
0 0 1;1 0 1;1 0 0 1;1 0 1;1 0 0
0 0 0 0 0 0 0 0 0 0 0 0
0 1;7 0 1;7 0 1;7 1;7 1;7 0 1;7 0 1;7
0 0 1;5 0 1;5 0 0 1;5 0 1;5 0 0
